Date,Avg,Low,High
"	2021-09-01",21.4,18.5,23.9
"	2021-09-02",23.5,20.7,26.7
"	2021-09-03",24.3,20.6,29.2
"	2021-09-04",23.2,18.5,28.6
"	2021-09-05",23.1,19.4,27.3
"	2021-09-06",22.3,18,26.4
"	2021-09-07",19.6,17.6,20.9
"	2021-09-08",22.2,19,26.9
"	2021-09-09",23.5,19.1,29.1
"	2021-09-10",23.6,19.5,28.9
"	2021-09-11",24,19.9,29.4
"	2021-09-12",24.2,19.2,29.8
"	2021-09-13",24.8,20.8,30.3
"	2021-09-14",24.6,20,29.5
"	2021-09-15",23.6,19.5,28.9
"	2021-09-16",22.9,18,27.3
"	2021-09-17",23.5,20.5,28.2
"	2021-09-18",23.9,18.9,29.8
"	2021-09-19",23.7,20.8,27.8
"	2021-09-20",23.7,19,28.4
"	2021-09-21",22,17.4,26.2
"	2021-09-22",20.2,16.8,24.3
"	2021-09-23",20.9,16.9,25.9
"	2021-09-24",21.8,16.7,26.9
"	2021-09-25",21.2,18.7,23.1
"	2021-09-26",22.6,18.4,27.3
"	2021-09-27",21.6,18.7,25
"	2021-09-28",21.5,19.6,24.4
"	2021-09-29",20.2,17.8,21.4
"	2021-09-30",20.3,16,25.9
"	2021-10-01",21.1,16.9,27.5
"	2021-10-02",20.7,16.4,26.6
"	2021-10-03",22.3,17.1,28.8
"	2021-10-04",22.9,19.2,25.6
"	2021-10-05",23.6,21.7,26.5
"	2021-10-06",18.8,17.9,21.7
"	2021-10-07",19.4,17.9,21.9
"	2021-10-08",18.8,17.5,20
"	2021-10-09",20.9,18.5,24.1
"	2021-10-10",19.9,14.9,24.3
"	2021-10-11",15.2,12.6,17.8
"	2021-10-12",17.9,15.8,21.3
"	2021-10-13",19.6,14.9,25.2
"	2021-10-14",19.7,17.4,23.9
"	2021-10-15",19,17,21.4
"	2021-10-16",10.7,4.2,18.1
"	2021-10-17",5.6,1.3,10.8
"	2021-10-18",9.6,2.8,16.1
"	2021-10-19",10.9,7.1,15
"	2021-10-20",9.5,4.6,15.8
"	2021-10-21",9.8,4.9,16.2
"	2021-10-22",10.8,5.2,17.2
"	2021-10-23",11.4,5.7,18.4
"	2021-10-24",11.4,6,18.1
"	2021-10-25",11.7,6.3,17.6
"	2021-10-26",13,7.7,19
"	2021-10-27",13.4,9.8,18.1
"	2021-10-28",12.7,7.1,20
"	2021-10-29",14.6,10.5,20.6
"	2021-10-30",13.8,11,18
"	2021-10-31",14.1,9.2,20.3
"	2021-11-01",12.9,10.3,16.9
"	2021-11-02",11.5,7.9,16.9
"	2021-11-03",12.1,7.6,17.1
"	2021-11-04",12.1,8.4,16.3
"	2021-11-05",13,7.8,20.2
"	2021-11-06",14.1,8.8,21.3
"	2021-11-07",15.3,9.7,21.3
"	2021-11-08",8.6,4.5,15.5
"	2021-11-09",4.9,3,6.5
"	2021-11-10",4.2,0.7,7.7
"	2021-11-11",5.3,2.1,9.7
"	2021-11-12",4.5,1.3,8.6
"	2021-11-13",7.3,0.5,13.4
"	2021-11-14",11.3,7.8,16.4
"	2021-11-15",10.1,5.8,15.7
"	2021-11-16",8.5,4.4,13.6
"	2021-11-17",7.5,2.7,12.5
"	2021-11-18",11.9,7.7,16.2
"	2021-11-19",12.9,10.2,16.7
"	2021-11-20",10.4,6.8,15.6
"	2021-11-21",10.4,7.6,13.1
"	2021-11-22",2.7,-0.6,7.5
"	2021-11-23",-0.6,-3.7,2.3
"	2021-11-24",4.1,-2.6,9.1
"	2021-11-25",5.7,2.6,9.9
"	2021-11-26",2.9,-0.5,7.2
"	2021-11-27",3.4,-1.4,10.1
"	2021-11-28",5.1,-1.3,12.4
"	2021-11-29",7.6,2.5,13.7
"	2021-11-30",5.7,0.7,8.9
